,Unnamed: 0,Nama,Lembaga,Unit Kerja,Jabatan,Tanggal Lapor,Jenis Lapor,Kekayaan
19,19,DEDDY NOVIE CITRA ARTA,KEMENTERIAN PERHUBUNGAN,BADAN PENGEMBANGAN SDM PERHUBUNGAN,DOSEN,20 Februari 2022,"Khusus, Awal Menjabat",-66034542
20,20,BAMBANG SUGIARTO,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,KEPALA PUSAT KULIAH KERJA NYATA DAN TEKNOLOGI TEPAT GUNA,31 Desember 2021,Periodik,913381843
21,21,ATIKA VERANANDA,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),SEKRETARIAT UTAMA,ANALIS PENGELOLAAN KEUANGAN APBN,27 Juli 2022,"Khusus, Awal Menjabat",48409228
22,22,DANANG WAHYU BROTO,DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA,FRAKSI PARTAI GERINDRA,KETUA FRAKSI,31 Desember 2021,Periodik,4904524949
23,23,MARYADI ENDAR ISNIANTO,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D. I. YOGYAKARTA,KEPALA KEPOLISIAN SEKTOR NGEMPLAK,31 Desember 2021,"Khusus, Awal Menjabat",186000000
24,24,TITO ASUNG KUMORO WICAKSONO,PEMERINTAH DAERAH D.I. YOGYAKARTA,"DINAS PEKERJAAN UMUM, PERUMAHAN DAN ENERGI SUMBER DAYA MINERAL",KEPALA BIDANG,31 Desember 2021,Periodik,8789924979
25,25,AGUNG BUDI ATMAJI,PT PERTAMINA (PERSERO),SUB HOLDING UPSTREAM,SENIOR LEGAL COUNSEL OPERATIONS & PARTNERSHIP,31 Desember 2021,Periodik,2767692792
26,26,AGUSTINA RATRI PROBOSINI,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",INSTITUT SENI INDONESIA YOGYAKARTA,SEKRETARIS JURUSAN PENDIDIKAN SENI PERTUNJUKAN MERANGKAP SEKRETARIS PROGRAM STUDI PENDIDIKAN SENI PERTUNJUKAN,31 Maret 2022,"Khusus, Akhir Menjabat",434568483
27,27,BAMBANG PURNOMO PONCOKARYO,"PT BANK MANDIRI (PERSERO), TBK.",REGION VIII/JAWA 3,AREA HEAD,31 Desember 2021,"Khusus, Awal Menjabat",659537132
28,28,KUJI MURTININGRUM,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,KEPALA SATUAN KERJA,31 Desember 2021,Periodik,512500000
29,29,DYAN EKASARI,PT PELAYARAN NASIONAL INDONESIA (PERSERO),KANTOR CABANG,KEPALA BAGIAN ADMINISTRASI,31 Maret 2021,"Khusus, Awal Menjabat",936112000
30,30,ANON SUNEKO,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",INSTITUT SENI INDONESIA YOGYAKARTA,SEKRETARIS JURUSAN KARAWITAN MERANGKAP SEKRETARIS PROGRAM STUDI KARAWITAN,31 Desember 2021,Periodik,898941000
31,31,M. NUR RACHMAT,PT ASDP INDONESIA FERRY (PERSERO),KANTOR CABANG,MANAGER BAGIAN USAHA,31 Desember 2021,Periodik,55600000
32,32,BUDIANTO PRASETIO,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,SEKRETARIAT JENDERAL,PEJABAT PEMBUAT KOMITMEN (PPK),31 Desember 2021,"Khusus, Awal Menjabat",4812267368
33,33,ARIEF DARUAJI MUKTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI POM KENDARI,ANALIS KEPEGAWAIAN,31 Desember 2021,"Khusus, Awal Menjabat",21500000
34,34,LILIK SUTIARSO,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS GADJAH MADA,KETUA DEPARTEMEN TEKNIK PERTANIAN DAN BIOSISTEM,31 Desember 2021,Periodik,1232621731
35,35,"WIKAN KANUGROHO,",PEMERINTAH KOTA MAGELANG,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK",KEPALA BIDANG,31 Desember 2021,Periodik,749000000
36,36,DHIRGO AJI,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS GADJAH MADA,KETUA DEPARTEMEN,31 Desember 2021,Periodik,1608850000
37,37,RIZQI ROHMATNINGTYAS WIDODO,PT PERTAMINA (PERSERO),SUB HOLDING REFINERY & PETROCHEMICAL,SECTION HEAD,27 Desember 2021,"Khusus, Akhir Menjabat",1150135994
38,38,PURWASTYA PRATMAJAYA A L,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",INSTITUT SENI INDONESIA SURAKARTA,SEKRETARIS JURUSAN SENI MEDIA REKAM,31 Desember 2021,Periodik,-36700000
39,39,AMALA MORENTI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA II,PEMERIKSA AHLI MADYA/ MADYA,31 Desember 2021,Periodik,1046472459
40,40,RIZMAH NURCHASANAH,BANK INDONESIA (BI),KPW TASIKMALAYA,ANALIS,31 Desember 2021,Periodik,7204256084
41,41,HASTIONO ADI PRANOTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA AHLI MADYA/ MADYA,31 Desember 2021,Periodik,1006770179
42,42,HAMENGKU BUWONO X,PEMERINTAH DAERAH D.I. YOGYAKARTA,PIMPINAN TERTINGGI,GUBERNUR,31 Desember 2021,Periodik,40267336339
43,43,RIFKI LISTIANTO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI AMANAT NASIONAL,ANGGOTA DPRD,31 Desember 2021,Periodik,704456200
44,44,ANDAYANI KUMALADEWI,BANK INDONESIA (BI),DEPARTEMEN PENGELOLAAN MONETER,INTERNAL CONTROL OFFICER,31 Desember 2021,Periodik,1398893233
45,45,SUMINARSINAH,PEMERINTAH PROVINSI JAWA TIMUR,SEKRETARIAT DAERAH,PENGELOLA PENGADAAN BARANG/JASA,31 Desember 2021,Periodik,886819245
46,46,MINATI GAYUH LUHURI,PEMERINTAH PROVINSI DKI JAKARTA,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,PELAKSANA,31 Desember 2021,Periodik,3527201217
47,47,AWALUSILMAN,PEMERINTAH PROVINSI DKI JAKARTA,DINAS PENDIDIKAN,KEPALA SEKOLAH,17 Maret 2022,"Khusus, Awal Menjabat",816933433
48,48,DHINI ASTARINI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL CIPTA KARYA,BENDAHARA,31 Desember 2021,Periodik,414307261
49,49,MEDDY YOGASTORO,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,INSPEKTUR KELAIKUDARAAN BIDANG RANCANG BANGUN PESAWAT UDARA,31 Desember 2021,Periodik,1676300000
50,50,WISNU INDARTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),BPK PERWAKILAN PROVINSI JAWA BARAT,PEMERIKSA AHLI MUDA/ MUDA,31 Desember 2021,Periodik,5655613902
51,51,ALISE KURNIARINI FADLILA,BANK INDONESIA (BI),DEPARTEMEN PENGADAAN STRATEGIS,ANALIS SENIOR,31 Desember 2021,Periodik,730327986
52,52,FERRI FARKHAN KURNIAWAN,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS GADJAH MADA,KEPALA SUBDIREKTORAT PERENCANAAN KINERJA AKADEMIK DAN KEMITRAAN,31 Desember 2021,Periodik,1255509618
53,53,SUKCI HIRAWATI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA IV,PEMERIKSA AHLI MADYA/ MADYA,31 Desember 2021,Periodik,1342156993
54,54,DIAN MUTIANINGRUM,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PENANGGULANGAN BENCANA DAERAH,KEPALA SUB BIDANG LOGISTIK,31 Desember 2021,Periodik,416191103
55,55,KISMIANTINI,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS NEGERI YOGYAKARTA,KOORDINATOR PROGRAM STUDI STATISTIKA,31 Desember 2021,Periodik,1317684597
56,56,BAGUS RAGIL PUTRANTO,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,INSPEKTORAT JENDERAL,AUDITOR,31 Desember 2021,"Khusus, Awal Menjabat",62064630
57,57,VIDYA HAYUNINGTYAS,BADAN PUSAT STATISTIK (BPS),BADAN PUSAT STATISTIK PROVINSI DI YOGYAKARTA,PEJABAT PENGADAAN BARANG DAN JASA (PPBJ),31 Desember 2021,Periodik,312079236
58,58,ARIYANTI LUHUR TRI SETYARINI,PEMERINTAH DAERAH D.I. YOGYAKARTA,PANIRADYA KAISTIMEWAN,KEPALA BAGIAN,31 Desember 2021,Periodik,418277332
59,59,CAHYA WIDI,PT BANK BPD DIY,WAKIL PIMPINAN,DIREKTUR UMUM,31 Desember 2021,Periodik,17327112546
60,60,SRI MURYUWANTINI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,KEPALA DINAS,31 Desember 2021,"Khusus, Akhir Menjabat",2715439837
61,61,AFFRIO SUNARNO,PEMERINTAH KOTA YOGYAKARTA,KEMANTREN,MANTRI PAMONG PRAJA,31 Desember 2021,Periodik,145500000
62,62,ANASTASIA NOVYC VERNANDA,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),"DEPUTI BIDANG PENGAWASAN OBAT TRADISIONAL, SUPLEMEN KESEHATAN, DAN KOSMETIK",PENGAWAS FARMASI DAN MAKANAN,31 Desember 2021,Periodik,150000000
63,63,GUSTI KANJENG RATU HEMAS,DEWAN PERWAKILAN DAERAH (DPD),PERWAKILAN PROVINSI D.I. YOGYAKARTA,ANGGOTA DPD RI,31 Desember 2021,Periodik,42421010269
64,64,NOVIERA SARASATI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,ANALIS ANGGARAN,31 Desember 2021,Periodik,446372694
65,65,SETYAWATI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,KEPALA BIDANG,31 Desember 2021,"Khusus, Akhir Menjabat",80470573
66,66,EDUWARD,BADAN PEMERIKSA KEUANGAN (BPK-RI),BPK PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA AHLI MADYA/ MADYA,31 Desember 2021,Periodik,2488977015
67,67,HENDRA AHMAD FIRDAUS,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,INSPEKTUR NAVIGASI PENERBANGAN LEVEL IV,31 Desember 2021,Periodik,1803715343
68,68,KRISMA PERWITA SARI,"PT JASA MARGA (PERSERO), TBK.",DIREKTORAT UTAMA,AUDITOR,31 Desember 2021,Periodik,366140097
69,69,CHRISTINA CANDRASARI INDRIATMO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE,31 Desember 2021,Periodik,-565634453
70,70,NOVI RIADHI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2021,Periodik,3769521670
71,71,DIANITA APRILIA WULANDARI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ASISTEN PENYULUH PAJAK,31 Desember 2021,Periodik,772899000
72,72,DESIWANTI ASTUTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SUBBAGIAN UMUM DAN KEPATUHAN INTERNAL,31 Desember 2021,Periodik,461633535
73,73,NIZAR ABDILLAH MUFTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO,PELAKSANA DIREKTORAT KEUANGAN DAN UMUM,31 Desember 2021,Periodik,113368187
74,74,AHMAD MUFARIS,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI NASIONAL DEMOKRAT,ANGGOTA DPRD,31 Desember 2021,Periodik,-377647760
75,75,ILHAM WICAKSONO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2021,Periodik,730750000
76,76,EKO HARIYATNO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI KERJA SAMA DAN HUBUNGAN MASYARAKAT,31 Desember 2021,Periodik,988442400
77,77,ASTI WIJAYANTI,PEMERINTAH KABUPATEN GUNUNG KIDUL,DINAS SOSIAL,KEPALA DINAS,31 Desember 2021,Periodik,654802334
78,78,HARI KUSUMA SETIA NEGARA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KEPALA SEKSI PENYIDIKAN,31 Desember 2021,Periodik,2242753997
79,79,IRVAN MAWARDI,MAHKAMAH AGUNG,PENGADILAN TINGGI TATA USAHA NEGARA JAKARTA,HAKIM,31 Desember 2021,Periodik,1064000000
80,80,AGUS PURWANTO,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI","DIREKTORAT JENDERAL PENDIDIKAN ANAK USIA DINI, PENDIDIKAN DASAR, DAN PENDIDIKAN MENENGAH",PENGELOLA KEUANGAN,31 Desember 2021,"Khusus, Akhir Menjabat",921500000
81,81,ESTI SASANTI,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN III,ANALIS EKSEKUTIF - DIREKTORAT PENGAWASAN BANK SYARIAH,31 Desember 2021,Periodik,4044500000
82,82,MUHAMMAD DAHLAN SALEH,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA BAGIAN UMUM,31 Desember 2021,Periodik,5857429507
83,83,HENI KARTIKAWATI,KEMENTERIAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,KEPALA PUSAT PENDIDIKAN DAN PELATIHAN KEUANGAN UMUM,31 Desember 2021,Periodik,5857429507
84,84,RIDIAN JUNATA,PT PERTAMINA (PERSERO),PT PERUSAHAAN GAS NEGARA TBK,SR. ANALYST,31 Desember 2021,Periodik,3035708966
85,85,PADMONO ANGGORO PRASETYO,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEBUDAYAAN,KEPALA SEKSI DOKUMENTASI DAN INFORMASI SENI BUDAYA,31 Desember 2021,Periodik,1808558801
86,86,WIEDA HERDIANA,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS GADJAH MADA,KEPALA SEKSI AKADEMIK DAN KEMAHASISWAAN,31 Desember 2021,"Khusus, Awal Menjabat",160644332
87,87,INDAH MUNAINI,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D. I. YOGYAKARTA,KEPALA URUSAN KEUANGAN (BENDAHARA),31 Desember 2021,Periodik,892166672
88,88,TITIK ISMIYATI,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS GADJAH MADA,"WAKIL DIREKTUR PELAYANAN, PENDIDIKAN DAN PENELITIAN",31 Desember 2021,"Khusus, Awal Menjabat",546000000
89,89,ROMADHANI BAYU KUSUMA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,BENDAHARA,31 Desember 2021,Periodik,113875472
90,90,SIGIT WICAKSONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI NASIONAL DEMOKRAT,ANGGOTA DPRD,31 Desember 2021,Periodik,248036160
91,91,MUHAMAD IQBAL FELANI,PT PERUSAHAAN LISTRIK NEGARA (PERSERO),PUSLITBANG,MANAGER SUB BIDANG PERENCANAAN,31 Desember 2021,Periodik,1969918504
92,92,CHRESTINA ERNI WIDYASTUTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PENGELOLA KEUANGAN DAN ASET,KEPALA BIDANG,31 Desember 2021,Periodik,345714143
93,93,OKTIANA DWI ASTUTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PENYIDIK PEGAWAI NEGERI SIPIL,31 Desember 2021,Periodik,471616568
94,94,YOPIE WIRAWAN ADIBRATA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK,31 Desember 2021,Periodik,2815888307
95,95,RIEFQI HANIEF,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA AHLI PERTAMA/ PERTAMA,31 Desember 2021,Periodik,1636309146
96,96,WARTONO,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D. I. YOGYAKARTA,KEPALA KEPOLISIAN SEKTOR PANDAK,31 Desember 2021,Periodik,666400000
97,97,RR GARNETTA MUSTIKANINGRUM,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM DKI JAKARTA,PENGAWAS FARMASI DAN MAKANAN,31 Desember 2021,Periodik,192356372
98,98,LAKSANA JATI JAYA,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,KEPALA SEKSI PEMANFAATAN,31 Desember 2021,Periodik,939075071
99,99,NOOR HARSYA ARYO S,BADAN PENGAWAS PEMILIHAN UMUM,BADAN PENGAWAS PEMILIHAN UMUM PROVINSI D.I. YOGYAKARTA,ANGGOTA,31 Desember 2021,Periodik,2280400000
100,100,YUSTINUS KELIEK MULYONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2021,Periodik,122781958
101,101,DIAN RAHMAWATI,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM JAWA TENGAH,BENDAHARA DAN/ATAU PEJABAT PENGELOLA KEUANGAN,31 Desember 2021,Periodik,-114550000
102,102,ASDO ARTRIVIYANTO,PT KERETA API INDONESIA (PERSERO),DIREKTORAT UTAMA,EXECUTIVE VICE PRESIDENT CORPORATE SECRETARY,31 Desember 2021,Periodik,51202455
103,103,RIRIN HERINI EVILISTYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA SEKSI DATA DAN STATISTIK,31 Desember 2021,Periodik,393492185
104,104,BAGAS RAEDIANTO,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN III,PENGAWAS JUNIOR - DIREKTORAT PENGAWASAN BANK SYARIAH,31 Desember 2021,Periodik,1083211952
105,105,HANUNG INDARTO,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,PANITERA PENGGANTI,31 Desember 2021,"Khusus, Akhir Menjabat",853206196
106,106,EVIE FRIDINA SUSAN,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP PROVINSI DAERAH ISTIMEWA YOGYAKARTA,AUDITOR MADYA,31 Desember 2021,Periodik,297653513
107,107,LAKSMI HAYU PAWERTI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI JAWA TENGAH,JAKSA FUNGSIONAL,31 Desember 2021,Periodik,62300000
108,108,TANTRI AMBARSARI,PEMERINTAH PROVINSI JAWA TENGAH,DINAS PENDIDIKAN DAN KEBUDAYAAN,KEPALA SMA NEGERI 1 BAYAT,31 Desember 2021,Periodik,2228581682
109,109,ELLA GUNADIA RATNA DEWI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA FUNGSIONAL,31 Desember 2021,Periodik,-133400969
110,110,MONIKA NUR LASTIYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS PERPUSTAKAAN DAN ARSIP DAERAH,KEPALA DINAS,31 Desember 2021,Periodik,1450688964
111,111,MARIA DANASTRI,KOMISI PEMBERANTASAN KORUPSI (KPK),DEPUTI BIDANG PENCEGAHAN DAN MONITORING,PEMERIKSA GRATIFIKASI DAN PELAYANAN PUBLIK MUDA,31 Desember 2021,Periodik,681601676
112,112,DWI YUDIANTARI,PEMERINTAH PROVINSI JAWA TENGAH,INSPEKTORAT DAERAH,AUDITOR,31 Desember 2021,Periodik,212200000
113,113,IMAM SUTOPO,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI MALUKU UTARA,KOORDINATOR,31 Desember 2021,Periodik,1320000000
114,114,R. KRISMA EKA PUTRA,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2021,Periodik,325800000
115,115,KARINA DISTA YULISTYA,BADAN PEMERIKSA KEUANGAN (BPK-RI),BPK PERWAKILAN PROVINSI SUMATERA SELATAN,PEMERIKSA AHLI PERTAMA/ PERTAMA,31 Desember 2021,Periodik,242615787
116,116,RETNO DYAH PARWITASARI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA BIDANG FASILITAS MEDIK DAN KEPERAWATAN,31 Desember 2021,Periodik,3616674396
117,117,RAHMAT SETYAJI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BPK PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA AHLI PERTAMA/ PERTAMA,31 Desember 2021,Periodik,309330061
118,118,KRISNADI SETYAWAN,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,31 Desember 2021,Periodik,521555000
119,119,MARZHA TWEEDO DIKKY PARAANUGRAH,MAHKAMAH AGUNG,PENGADILAN TINGGI PALU,HAKIM,31 Desember 2021,Periodik,125000000
120,120,MAYA HENNY HITIJAHUBESSY,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH BANTEN,PEJABAT PEMBUAT KOMITMEN,31 Desember 2021,Periodik,665500000
121,121,LAILY FITRIA TITIN ANUGRAHWATI,MAHKAMAH AGUNG,PENGADILAN TINGGI SEMARANG,HAKIM,31 Desember 2021,Periodik,765750000
122,122,RUDI ANANTA WIJAYA,MAHKAMAH AGUNG,PENGADILAN TINGGI SEMARANG,HAKIM,31 Desember 2021,Periodik,2139558445
123,123,WIKAN GUNARSO,PT PERTAMINA (PERSERO),SUB HOLDING UPSTREAM,SUPERINTENDENT FIELD KAL. ONSHORE HSSE OPS,30 Desember 2021,"Khusus, Awal Menjabat",2418398400
124,124,RADEN HENDRI GUSAPTONO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,SEKRETARIS JURUSAN MANAJEMEN,31 Desember 2020,Periodik,1594000000
